id,traditional,japan,simplified,korea
1,一,一,一,一
2,人,人,人,人
3,火,火,火,火
4,二,二,二,二
5,又,又,又,又
6,力,力,力,力
7,九,九,九,九
8,八,八,八,八
9,七,七,七,七
10,入,入,入,入
11,刀,刀,刀,刀
12,上,上,上,上
13,大,大,大,大
14,子,子,子,子
15,小,小,小,小
16,下,下,下,下
17,工,工,工,工
18,三,三,三,三
19,口,口,口,口
20,己,己,己,己
21,女,女,女,女
22,山,山,山,山
23,己,己,己,己
24,及,及,及,及
25,才,才,才,才
26,千,千,千,千
27,土,土,土,土
28,士,士,士,士
29,久,久,久,久
30,亡,亡,亡,亡
31,寸,寸,寸,寸
32,川,川,川,川
33,弓,弓,弓,弓
34,夕,夕,夕,夕
35,不,不,不,不
36,中,中,中,中
37,天,天,天,天
38,太,太,太,太
39,日,日,日,日
40,方,方,方,方
41,分,分,分,分
42,五,五,五,五
43,心,心,心,心
44,水,水,水,水
45,月,月,月,月
46,化,化,化,化
47,比,比,比,比
48,公,公,公,公
49,內,內,内,內
50,今,今,今,今
51,手,手,手,手
52,六,六,六,六
53,反,反,反,反
54,少,少,少,少
55,文,文,文,文
56,夫,夫,夫,夫
57,火,火,火,火
58,元,元,元,元
59,毛,毛,毛,毛
60,王,王,王,王
61,友,友,友,友
62,支,支,支,支
63,片,片,片,片
64,木,木,木,木
65,引,引,引,引
66,止,止,止,止
67,父,父,父,父
68,尺,尺,尺,尺
69,午,午,午,午
70,牛,牛,牛,牛
71,戶,戶,户,戶
72,氏,氏,氏,氏
73,井,井,井,井
74,仁,仁,仁,仁
75,犬,犬,犬,犬
76,他,他,他,他
77,以,以,以,以
78,可,可,可,可
79,生,生,生,生
80,出,出,出,出
81,主,主,主,主
82,用,用,用,用
83,去,去,去,去
84,民,民,民,民
85,本,本,本,本
86,外,外,外,外
87,加,加,加,加
88,四,四,四,四
89,正,正,正,正
90,由,由,由,由
91,平,平,平,平
92,代,代,代,代
93,白,白,白,白
94,立,立,立,立
95,打,打,打,打
96,北,北,北,北
97,世,世,世,世
98,必,必,必,必
99,目,目,目,目
100,市,市,市,市
101,布,布,布,布
102,石,石,石,石
103,母,母,母,母
104,未,未,未,未
105,半,半,半,半
106,示,示,示,示
107,古,古,古,古
108,史,史,史,史
109,失,失,失,失
110,功,功,功,功
111,田,田,田,田
112,皮,皮,皮,皮
113,令,令,令,令
114,左,左,左,左
115,句,句,句,句
116,右,右,右,右
117,玉,玉,玉,玉
118,冬,冬,冬,冬
119,兄,兄,兄,兄
120,永,永,永,永
121,末,末,末,末
122,巨,巨,巨,巨
123,幼,幼,幼,幼
124,甘,甘,甘,甘
125,仙,仙,仙,仙
126,申,申,申,申
127,冊,冊,册,冊
128,在,在,在,在
129,有,有,有,有
130,地,地,地,地
131,全,全,全,全
132,年,年,年,年
133,多,多,多,多
134,自,自,自,自
135,好,好,好,好
136,行,行,行,行
137,同,同,同,同
138,成,成,成,成
139,如,如,如,如
140,老,老,老,老
141,因,因,因,因
142,向,向,向,向
143,合,合,合,合
144,各,各,各,各
145,百,百,百,百
146,西,西,西,西
147,回,回,回,回
148,次,次,次,次
149,先,先,先,先
150,名,名,名,名
151,再,再,再,再
152,安,安,安,安
153,共,共,共,共
154,光,光,光,光
155,至,至,至,至
156,收,収,收,收
157,交,交,交,交
158,字,字,字,字
159,米,米,米,米
160,色,色,色,色
161,式,式,式,式
162,死,死,死,死
163,早,早,早,早
164,列,列,列,列
165,江,江,江,江
166,衣,衣,衣,衣
167,存,存,存,存
168,忙,忙,忙,忙
169,守,守,守,守
170,充,充,充,充
171,考,考,考,考
172,血,血,血,血
173,印,印,印,印
174,肉,肉,肉,肉
175,危,危,危,危
176,曲,曲,曲,曲
177,耳,耳,耳,耳
178,羊,羊,羊,羊
179,休,休,休,休
180,伐,伐,伐,伐
181,竹,竹,竹,竹
182,吉,吉,吉,吉
183,伏,伏,伏,伏
184,刑,刑,刑,刑
185,朱,朱,朱,朱
186,仰,仰,仰,仰
187,舌,舌,舌,舌
188,宅,宅,宅,宅
189,宇,宇,宇,宇
190,寺,寺,寺,寺
191,兆,兆,兆,兆
192,我,我,我,我
193,作,作,作,作
194,見,見,见,見
195,利,利,利,利
196,位,位,位,位
197,走,走,走,走
198,完,完,完,完
199,別,別,别,別
200,形,形,形,形
201,決,決,决,決
202,身,身,身,身
203,改,改,改,改
204,車,車,车,車
205,快,快,快,快
206,花,花,花,花
207,住,住,住,住
208,志,志,志,志
209,每,毎,每,每
210,更,更,更,更
211,究,究,究,究
212,近,近,近,近
213,何,何,何,何
214,步,歩,步,步
215,技,技,技,技
216,告,告,告,告
217,兵,兵,兵,兵
218,言,言,言,言
219,低,低,低,低
220,足,足,足,足
221,⻆,⻆,⻆,⻆
222,助,助,助,助
223,防,防,防,防
224,希,希,希,希
225,村,村,村,村
226,投,投,投,投
227,弟,弟,弟,弟
228,良,良,良,良
229,初,初,初,初
230,均,均,均,均
231,男,男,男,男
232,判,判,判,判
233,冷,冷,冷,冷
234,材,材,材,材
235,君,君,君,君
236,困,困,困,困
237,否,否,否,否
238,迎,迎,迎,迎
239,吹,吹,吹,吹
240,私,私,私,私
241,忘,忘,忘,忘
242,序,序,序,序
243,佛,仏,佛,佛
244,辛,辛,辛,辛
245,尾,尾,尾,尾
246,妙,妙,妙,妙
247,壯,壮,壮,壯
248,貝,貝,贝,貝
249,忍,忍,忍,忍
250,豆,豆,豆,豆
251,秀,秀,秀,秀
252,臣,臣,臣,臣
253,赤,赤,赤,赤
254,扶,扶,扶,扶
255,孝,孝,孝,孝
256,姉,姉,姉,姉
257,的,的,的,的
258,來,来,来,來
259,和,和,和,和
260,到,到,到,到
261,事,事,事,事
262,所,所,所,所
263,長,長,长,長
264,法,法,法,法
265,定,定,定,定
266,兩,両,两,兩
267,明,明,明,明
268,使,使,使,使
269,物,物,物,物
270,知,知,知,知
271,表,表,表,表
272,者,者,者,者
273,兒,児,儿,兒
274,命,命,命,命
275,性,性,性,性
276,果,果,果,果
277,門,門,门,門
278,東,東,东,東
279,放,放,放,放
280,官,官,官,官
281,爭,争,争,爭
282,取,取,取,取
283,育,育,育,育
284,直,直,直,直
285,治,治,治,治
286,金,金,金,金
287,受,受,受,受
288,非,非,非,非
289,油,油,油,油
290,林,林,林,林
291,空,空,空,空
292,往,往,往,往
293,易,易,易,易
294,京,京,京,京
295,服,服,服,服
296,河,河,河,河
297,若,若,若,若
298,注,注,注,注
299,英,英,英,英
300,苦,苦,苦,苦
301,始,始,始,始
302,念,念,念,念
303,武,武,武,武
304,例,例,例,例
305,雨,雨,雨,雨
306,固,固,固,固
307,夜,夜,夜,夜
308,協,協,协,協
309,免,免,免,免
310,承,承,承,承
311,依,依,依,依
312,波,波,波,波
313,居,居,居,居
314,呼,呼,呼,呼
315,妹,妹,妹,妹
316,味,味,味,味
317,松,松,松,松
318,季,季,季,季
319,枝,枝,枝,枝
320,宗,宗,宗,宗
321,招,招,招,招
322,店,店,店,店
323,幸,幸,幸,幸
324,妻,妻,妻,妻
325,抱,抱,抱,抱
326,虎,虎,虎,虎
327,卷,巻,卷,卷
328,姓,姓,姓,姓
329,典,典,典,典
330,彼,彼,彼,彼
331,奉,奉,奉,奉
332,舍,舍,舍,舍
333,忠,忠,忠,忠
334,宙,宙,宙,宙
335,泣,泣,泣,泣
336,昔,昔,昔,昔
337,卒,卒,卒,卒
338,是,是,是,是
339,要,要,要,要
340,活,活,活,活
341,面,面,面,面
342,後,後,后,後
343,看,看,看,看
344,前,前,前,前
345,政,政,政,政
346,度,度,度,度
347,重,重,重,重
348,相,相,相,相
349,便,便,便,便
350,軍,軍,军,軍
351,建,建,建,建
352,革,革,革,革
353,美,美,美,美
354,南,南,南,南
355,計,計,计,計
356,界,界,界,界
357,海,海,海,海
358,思,思,思,思
359,品,品,品,品
360,指,指,指,指
361,科,科,科,科
362,保,保,保,保
363,則,則,则,則
364,信,信,信,信
365,省,省,省,省
366,風,風,风,風
367,持,持,持,持
368,約,約,约,約
369,神,神,神,神
370,飛,飛,飞,飛
371,食,食,食,食
372,首,首,首,首
373,故,故,故,故
374,草,草,草,草
375,送,送,送,送
376,音,音,音,音
377,洋,洋,洋,洋
378,紅,紅,红,紅
379,城,城,城,城
380,客,客,客,客
381,屋,屋,屋,屋
382,律,律,律,律
383,施,施,施,施
384,急,急,急,急
385,星,星,星,星
386,待,待,待,待
387,春,春,春,春
388,限,限,限,限
389,室,室,室,室
390,香,香,香,香
391,退,退,退,退
392,祖,祖,祖,祖
393,威,威,威,威
394,洗,洗,洗,洗
395,昨,昨,昨,昨
396,拜,拝,拜,拜
397,秋,秋,秋,秋
398,厚,厚,厚,厚
399,追,追,追,追
400,皆,皆,皆,皆
401,勇,勇,勇,勇
402,恨,恨,恨,恨
403,皇,皇,皇,皇
404,怒,怒,怒,怒
405,俗,俗,俗,俗
406,祝,祝,祝,祝
407,拾,拾,拾,拾
408,泉,泉,泉,泉
409,柔,柔,柔,柔
410,哀,哀,哀,哀
411,怨,怨,怨,怨
412,逆,逆,逆,逆
413,個,個,个,個
414,時,時,时,時
415,能,能,能,能
416,家,家,家,家
417,起,起,起,起
418,高,高,高,高
419,氣,気,气,氣
420,原,原,原,原
421,展,展,展,展
422,通,通,通,通
423,華,華,华,華
424,特,特,特,特
425,書,書,书,書
426,馬,馬,马,馬
427,造,造,造,造
428,流,流,流,流
429,記,記,记,記
430,根,根,根,根
431,料,料,料,料
432,連,連,连,連
433,師,師,师,師
434,校,校,校,校
435,席,席,席,席
436,病,病,病,病
437,笑,笑,笑,笑
438,除,除,除,除
439,速,速,速,速
440,害,害,害,害
441,消,消,消,消
442,破,破,破,破
443,容,容,容,容
444,修,修,修,修
445,效,効,效,效
446,留,留,留,留
447,致,致,致,致
448,財,財,财,財
449,旅,旅,旅,旅
450,益,益,益,益
451,素,素,素,素
452,恩,恩,恩,恩
453,酒,酒,酒,酒
454,降,降,降,降
455,案,案,案,案
456,紙,紙,纸,紙
457,借,借,借,借
458,殺,殺,杀,殺
459,射,射,射,射
460,針,針,针,針
461,烈,烈,烈,烈
462,訓,訓,训,訓
463,夏,夏,夏,夏
464,骨,骨,骨,骨
465,孫,孫,孙,孫
466,庭,庭,庭,庭
467,島,島,岛,島
468,弱,弱,弱,弱
469,徒,徒,徒,徒
470,浪,浪,浪,浪
471,純,純,纯,純
472,乘,乗,乘,乘
473,耕,耕,耕,耕
474,悟,悟,悟,悟
475,泰,泰,泰,泰
476,浮,浮,浮,浮
477,胸,胸,胸,胸
478,栽,栽,栽,栽
479,勉,勉,勉,勉
480,眠,眠,眠,眠
481,浴,浴,浴,浴
482,國,国,国,國
483,得,得,得,得
484,動,動,动,動
485,都,都,都,都
486,進,進,进,進
487,着,着,着,着
488,部,部,部,部
489,問,問,问,問
490,從,従,从,從
491,現,現,现,現
492,著,著,着,著
493,理,理,理,理
494,第,第,第,第
495,將,将,将,將
496,情,情,情,情
497,常,常,常,常
498,接,接,接,接
499,設,設,设,設
500,許,許,许,許
501,務,務,务,務
502,基,基,基,基
503,深,深,深,深
504,處,処,处,處
505,眼,眼,眼,眼
506,望,望,望,望
507,商,商,商,商
508,習,習,习,習
509,參,参,参,參
510,婚,婚,婚,婚
511,球,球,球,球
512,細,細,细,細
513,推,推,推,推
514,族,族,族,族
515,船,船,船,船
516,魚,魚,鱼,魚
517,婦,婦,妇,婦
518,黃,黄,黄,黃
519,視,視,视,視
520,責,責,责,責
521,密,密,密,密
522,貨,貨,货,貨
523,救,救,救,救
524,終,終,终,終
525,停,停,停,停
526,章,章,章,章
527,頂,頂,顶,頂
528,假,仮,假,假
529,訪,訪,访,訪
530,野,野,野,野
531,麥,麦,麦,麥
532,唱,唱,唱,唱
533,菜,菜,菜,菜
534,堂,堂,堂,堂
535,移,移,移,移
536,異,異,异,異
537,脫,脫,脱,脫
538,執,執,执,執
539,貧,貧,贫,貧
540,敗,敗,败,敗
541,混,混,混,混
542,探,探,探,探
543,盛,盛,盛,盛
544,鳥,鳥,鸟,鳥
545,陸,陸,陆,陸
546,陰,陰,阴,陰
547,欲,欲,欲,欲
548,閉,閉,闭,閉
549,雪,雪,雪,雪
550,淨,浄,净,淨
551,淺,浅,浅,淺
552,虛,虚,虚,虛
553,惜,惜,惜,惜
554,授,授,授,授
555,患,患,患,患
556,宿,宿,宿,宿
557,涼,涼,凉,涼
558,晝,昼,昼,晝
559,崇,崇,崇,崇
560,祭,祭,祭,祭
561,就,就,就,就
562,道,道,道,道
563,發,発,发,發
564,過,過,过,過
565,等,等,等,等
566,無,無,无,無
567,然,然,然,然
568,間,間,间,間
569,量,量,量,量
570,最,最,最,最
571,結,結,结,結
572,給,給,给,給
573,期,期,期,期
574,萬,万,万,萬
575,報,報,报,報
576,運,運,运,運
577,極,極,极,極
578,統,統,统,統
579,勞,労,劳,勞
580,埸,埸,埸,埸
581,逹,逹,逹,逹
582,單,単,单,單
583,須,須,须,須
584,備,備,备,備
585,集,集,集,集
586,勝,勝,胜,勝
587,遊,遊,游,遊
588,喜,喜,喜,喜
589,落,落,落,落
590,黑,黒,黑,黑
591,買,買,买,買
592,堅,堅,坚,堅
593,陽,陽,阳,陽
594,富,富,富,富
595,答,答,答,答
596,揚,揚,扬,揚
597,葉,葉,叶,葉
598,朝,朝,朝,朝
599,雲,雲,云,雲
600,敢,敢,敢,敢
601,圓,円,圆,圓
602,畫,畫,画,畫
603,澸,澸,澸,澸
604,短,短,短,短
605,飯,飯,饭,飯
606,善,善,善,善
607,童,童,童,童
608,散,散,散,散
609,惡,悪,恶,惡
610,貴,貴,贵,貴
611,植,植,植,植
612,登,登,登,登
613,敬,敬,敬,敬
614,景,景,景,景
615,偉,偉,伟,偉
616,遇,遇,遇,遇
617,順,順,顺,順
618,筆,筆,笔,筆
619,街,街,街,街
620,湖,湖,湖,湖
621,雄,雄,雄,雄
622,稅,稅,税,稅
623,寒,寒,寒,寒
624,尊,尊,尊,尊
625,番,番,番,番
626,勸,勧,劝,勸
627,賀,賀,贺,賀
628,悲,悲,悲,悲
629,喪,喪,丧,喪
630,閑,閑,闲,閑
631,惠,恵,惠,惠
632,晴,晴,晴,晴
633,暑,暑,暑,暑
634,貯,貯,贮,貯
635,會,会,会,會
636,經,経,经,經
637,新,新,新,新
638,電,電,电,電
639,業,業,业,業
640,當,当,当,當
641,義,義,义,義
642,意,意,意,意
643,想,想,想,想
644,話,話,话,話
645,與,与,与,與
646,路,路,路,路
647,農,農,农,農
648,解,解,解,解
649,愛,愛,爱,愛
650,號,号,号,號
651,節,節,节,節
652,傳,伝,传,傳
653,勢,勢,势,勢
654,遠,遠,远,遠
655,感,感,感,感
656,溫,温,温,溫
657,試,試,试,試
658,滿,満,满,滿
659,歳,歳,歳,歳
660,煙,煙,烟,煙
661,傷,傷,伤,傷
662,福,福,福,福
663,漢,漢,汉,漢
664,罪,罪,罪,罪
665,暗,暗,暗,暗
666,園,園,园,園
667,詩,詩,诗,詩
668,禁,禁,禁,禁
669,聖,聖,圣,聖
670,暖,暖,暖,暖
671,誠,誠,诚,誠
672,愁,愁,愁,愁
673,慈,慈,慈,慈
674,說,說,说,說
675,對,対,对,對
676,種,種,种,種
677,實,実,实,實
678,領,領,领,領
679,認,認,认,認
680,圖,図,图,圖
681,算,算,算,算
682,廣,広,广,廣
683,精,精,精,精
684,銀,銀,银,銀
685,盡,尽,尽,盡
686,輕,軽,轻,輕
687,適,適,适,適
688,端,端,端,端
689,聞,聞,闻,聞
690,語,語,语,語
691,察,察,察,察
692,練,練,练,練
693,誤,誤,误,誤
694,歌,歌,歌,歌
695,綠,緑,绿,綠
696,榮,栄,荣,榮
697,榖,榖,榖,榖
698,鳴,鳴,鸣,鳴
699,鼻,鼻,鼻,鼻
700,漁,漁,渔,漁
701,壽,寿,寿,壽
702,暮,暮,暮,暮
703,論,論,论,論
704,數,数,数,數
705,線,線,线,線
706,質,質,质,質
707,熱,熱,热,熱
708,增,増,增,增
709,調,調,调,調
710,請,請,请,請
711,德,徳,德,德
712,談,談,谈,談
713,選,選,选,選
714,價,価,价,價
715,養,養,养,養
716,樂,楽,乐,樂
717,敵,敵,敌,敵
718,誰,誰,谁,誰
719,賣,売,卖,賣
720,諸,諸,诸,諸
721,課,課,课,課
722,億,億,亿,億
723,舞,舞,舞,舞
724,齒,歯,齿,齒
725,慶,慶,庆,慶
726,暴,暴,暴,暴
727,潔,潔,洁,潔
728,遺,遺,遗,遺
729,賞,賞,赏,賞
730,憂,憂,忧,憂
731,學,学,学,學
732,頭,頭,头,頭
733,戰,戦,战,戰
734,親,親,亲,親
735,樹,樹,树,樹
736,錢,銭,钱,錢
737,興,興,兴,興
738,餘,余,余,餘
739,獨,独,独,獨
740,橋,橋,桥,橋
741,燈,灯,灯,燈
742,靜,静,静,靜
743,憶,憶,忆,憶
744,應,応,应,應
745,聲,声,声,聲
746,講,講,讲,講
747,舊,旧,旧,舊
748,鮮,鮮,鲜,鮮
749,謝,謝,谢,謝
750,關,関,关,關
751,題,題,题,題
752,難,難,难,難
753,醫,医,医,醫
754,藝,芸,艺,藝
755,歸,帰,归,歸
756,蟲,虫,虫,蟲
757,藥,薬,药,藥
758,禮,礼,礼,禮
759,豐,豊,丰,豐
760,識,識,识,識
761,證,証,证,證
762,願,願,愿,願
763,勸,勧,劝,勸
764,議,議,议,議
765,嚴,厳,严,嚴
766,鐘,鐘,钟,鐘
767,競,競,竞,競
768,權,権,权,權
769,鐵,鉄,铁,鐵
770,續,続,续,續
771,歡,歓,欢,歡
772,露,露,露,露
773,聽,聴,听,聽
774,讀,読,读,讀
775,驚,驚,惊,驚
776,體,体,体,體
777,變,変,变,變
778,觀,観,观,觀
779,讓,譲,让,讓
780,強,強,强,强
781,開,開,开,開
782,舉,舉,举,舉
783,敎,教,敎,敎
784,歷,歴,历,歷
785,里,里,里,里
786,晚,晩,晚,晚
787,冰,氷,冰,氷
788,產,産,产,産
789,研,研,研,研
790,飲,飲,饮,飮
791,絕,絶,绝,絶
792,製,製,制,製
793,衆,衆,众,衆
794,真,真,真,眞
795,窗,窓,窗,窓
796,採,採,采,採
797,淸,清,淸,淸
798,靑,青,靑,靑
799,韓,韓,韩,韓
800,鄉,鄉,乡,鄉
801,賢,賢,贤,賢
802,央,央,央,央
803,區,区,区,區
804,團,団,团,團
805,局,局,局,局
806,寫,写,写,寫
807,茶,茶,茶,茶
808,點,点,点,點